,index,tweet,mark
35,287,"Construction, bridge work on US 1 Business northbound In the vicinity of Allen Ln (Lawrence Twp) left lane closed until 3:00 P.M.   ",0
36,291,Roadwork on New Jersey Turnpike - Hudson County Extension eastbound East of Interchange 14C - Toll Plaza (Jersey City) to West of Grand St (Jersey City) right lane closed until further notice   ,0
37,299,"Construction, roadwork on NJ 42 both directions South of CR 689/Cross Keys Berlin Rd (Monroe Twp) right shoulder closed until 4:00 P.M.   ",0
38,306,"Construction, bridge work on I-80 westbound West of Exit 42 - US 202/Littleton Rd (Parsippany-Troy Hills Twp) right shoulder closed for repairs until 3:00 P.M.   ",0
39,314,Crash on I-295 northbound North of Exit 52 - Columbus Rd (Mansfield Twp) right shoulder closed use caution   ,0
40,328,"Construction, barrier repairs on I-80 westbound ramp to southbound Exit 4 - NJ 94/US 46 (Knowlton Twp) ramp closed and detoured until 3:30 P.M.   ",0
41,329,Crash on I-295 northbound North of Exit 52 - Columbus Rd (Mansfield Twp) right shoulder closed use caution   ,0
42,340,"Construction, bridge construction on George Washington Bridge westbound New York Side/Upper Level (Manhattan) to New Jersey Side/Upper Level (Fort Lee) right lane closed until 2:30 P.M.   ",0
43,342,No diesel available and No food available and No fuel available on New Jersey Turnpike northbound Woodrow Wilson Service Area (Hamilton Twp) REST AREA IS CLOSED UNTIL FURTHER NOTICE.   ,0
44,343,No diesel available and No food available and No fuel available on New Jersey Turnpike northbound Woodrow Wilson Service Area (Hamilton Twp) REST AREA IS CLOSED UNTIL FURTHER NOTICE.   ,0
45,345,Equipment malfunction and No diesel available and No food available and No fuel available on New Jersey Turnpike northbound Woodrow Wilson Service Area (Hamilton Twp) REST AREA IS CLOSED UNTIL FURTHER NOTICE.   ,0
46,346,Equipment malfunction and No diesel available and No food available and No fuel available on New Jersey Turnpike northbound Woodrow Wilson Service Area (Hamilton Twp) REST AREA IS CLOSED UNTIL FURTHER NOTICE.   ,0
47,347,Roadwork on Garden State Parkway northbound South of Ocean View Service Area (Dennis Twp) to South of Cape May Toll Plaza (Upper Twp) left lane closed to traffic   ,0
48,366,Roadwork on Garden State Parkway northbound South of Exit 52 - CR 654/East Greenbush Rd (Bass River Twp) to North of New Gretna Toll Plaza (Bass River Twp) right and center lanes closed to traffic   ,0
49,380,Crash on I-80 express lanes eastbound West of Exit 68 - New Jersey Turnpike/I-95 (Bogota) left lane closed 10-15 minute delay   ,0
50,386,Crash on New Jersey Turnpike - Hudson County Extension westbound East of Newark Bay Bridge (Bayonne) left lane closed   ,0
51,395,Crash on I-80 express lanes eastbound West of Exit 68 - New Jersey Turnpike/I-95 (Bogota) all lanes closed 5-10 minute delay   ,0
52,412,"Construction, construction on NJ 495 westbound ramp to southbound US 1&9 (North Bergen Twp) right lane and exit ramp closed until further notice   ",0
53,425,"Construction, bridge maintenance operations on I-78 both directions at Exit 11 - CR 614/Pattenburg Rd (Union Twp) right shoulder closed for repairs until 4:00 P.M.   ",0
54,428,Roadwork on Garden State Parkway northbound South of Great Egg Toll Plaza (Upper Twp) to North of Exit 29 - US 9 (Somers Point) right center lane closed to traffic   ,0
55,442,Roadwork on Garden State Parkway southbound North of Exit 17 - CR 625/Sea Isle Blvd (Dennis Twp) left lane closed to traffic until 3:00 P.M.   ,0
56,474,"Construction, construction on I-295 northbound from Exit 73 - Scotch Rd (Hopewell Twp) to Delaware River/Scudder Falls Bridge (Ewing Twp) 1 lane closed until 4:00 P.M. use caution   ",0
57,481,"Roadwork, roadwork on Garden State Parkway southbound between North of Exit 127 - US 9/I-287/NJ 440 (Woodbridge Twp) and South of Raritan Toll Plaza (Sayreville) 1 right lanes of 3 lanes closed until 8:00 A.M.   ",0
58,482,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019   ",0
59,483,"Construction, construction on NJ 175 northbound ramp to southbound I-295 (Ewing Twp) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020   ",0
60,484,"Construction, construction on I-676 both directions South of Exit 5 - CR 537 (Camden) to Exit 5 - CR 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019   ",0
61,487,"Construction, construction on I-195 westbound at Exit 16 - CR 537/Great Adventure (Jackson Twp) right shoulder closed until 11:59 P.M. on November 15, 2019   ",0
62,488,"Construction, tunnel repairs on Holland Tunnel westbound New York Side - North Tube (Manhattan) to New Jersey Side - North Tube (Jersey City) 1 lane closed from 11:59 P.M. until 5:30 A.M.   ",0
63,492,"Construction, bridge construction on George Washington Bridge westbound Henry Hudson Parkway (Manhattan) to New York Side/Upper Level (Manhattan) ramp closed and detoured until 5:00 A.M.   ",0
64,493,"Construction, tunnel repairs on Holland Tunnel eastbound New Jersey Side - South Tube (Jersey City) to New York Side - South Tube (Manhattan) 1 lane closed until 5:00 A.M.   ",0
65,494,"Construction, tunnel repairs on Lincoln Tunnel both directions New Jersey Side - Center Tube (Weehawken Twp) to New York Side - Center Tube (Manhattan) all lanes closed and detoured until 5:00 A.M.   ",0
66,498,"Construction, bridge construction on Outerbridge Crossing westbound New York Side (Staten Island) to New Jersey Side (Perth Amboy) right lane closed until 5:00 A.M.   ",0
67,499,"Construction, bridge painting on Atlantic City Expressway eastbound from East of Exit 12A - US 40 - Wrangleboro Rd (Hamilton Twp) to East of Exit 12 - US 40 - Wrangleboro Rd (Hamilton Twp) left lane and shoulder closed until   ",0
68,500,"Construction, construction on NJ 495 westbound between Kennedy Boulevard (North Bergen Twp) and NJ 3 (North Bergen Twp) right lane closed for repairs until 5:00 A.M.   ",0
69,501,"Construction, bridge construction on George Washington Bridge eastbound Lower Trans Manhattan Expressway (Manhattan) all lanes closed and detoured until 4:00 A.M.   ",0
70,502,"Construction, bridge construction on George Washington Bridge eastbound New Jersey Side/Lower Level (Fort Lee) to New York Side/Lower Level (Manhattan) all lanes closed and detoured until 4:00 A.M.   ",0
71,503,"Construction, roadwork on I-676 northbound North of Exit 4 - Atlantic Ave (Camden) 2 left lanes closed until 5:00 A.M.   ",0
72,504,"Construction, construction on I-295 northbound ramp to eastbound Exit 60 - I-195/NJ 129 (Hamilton Twp) ramp closed and detoured until 5:00 A.M.   ",0
73,505,"Construction, construction on NJ 175 both directions between West Upper Ferry Rd (Ewing Twp) and NJ 29 (Ewing Twp) all lanes closed and detoured until 6:00 A.M. follow detour   ",0
74,506,"Construction, construction on I-295 southbound from north of Exit 67 - US 1 (Lawrence Twp) to South of Exit 67 - US 1 (Lawrence Twp) 2 left lanes closed until 6:00 A.M. use caution   ",0
75,509,Roadwork on Garden State Parkway Northbound between South of Exit 135 - Central Ave (Clark Twp) and South of Exit 137 - NJ 28 (Cranford Twp) 1 left lane closed until 6:00 A.M.   ,0
76,510,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) left lane closed until 5:00 A.M.   ",0
77,511,"Construction, bridge construction on George Washington Bridge westbound Upper Trans Manhattan Expressway (Manhattan) right lane closed until 5:00 A.M.   ",0
78,512,"Construction, bridge work on I-80 eastbound between Knowlton Rest Area (Knowlton Twp) and Exit 12 - CR 521/Hope-Blairstown Rd (Hope Twp) left and center lanes closed until 5:00 A.M.   ",0
79,513,"Construction, curb work on I-80 local lanes eastbound between Exit 63 - NJ 17 North (Lodi) and Exit 68 - New Jersey Turnpike/I-95 (Teaneck Twp) right lane and shoulder closed for repairs until 5:00 A.M.   ",0
80,514,"Construction, construction on NJ 495 westbound area of Kennedy Boulevard (North Bergen Twp) 2 right lanes closed for repairs until 5:00 A.M.   ",0
81,515,Roadwork on New Jersey Turnpike outer roadway Southbound between North of Interchange 7 - US 206 (Bordentown Twp) and Inner and Outer Roadway Merge (Mansfield Twp) 1 right lane closed until 6:00 A.M.   ,0
82,516,Roadwork on New Jersey Turnpike - Hudson County Extension Westbound between East of Newark Bay Bridge (Bayonne) and East of Interchange 14 - I-78 (Newark) 1 left lane closed until 5:00 A.M.   ,0
83,517,Roadwork on Garden State Parkway Northbound between North of Exit 129 - New Jersey Turnpike (Woodbridge Twp) and South of Exit 131 - Wood Avenue South (Woodbridge Twp) 1 right lane closed until 6:00 A.M.   ,0
84,518,Crash on I-80 westbound East of Exit 27 - NJ 183/US 206 (Roxbury Twp) right lane closed use caution   ,0
85,520,"Construction, construction cancelled on I-78 both directions between Exit 29 - I-287/US 202/US 206 (Bedminster Twp) and Exit 41 - Dale Rd to Plainfield Ave (Watchung) right lane closed for repairs until 6:00 A.M.   ",0
86,521,"Construction, bridge work on I-676 southbound ramp to Exit 1 - Collings Ave (Camden) exit ramp closed and detoured until 5:00 A.M. follow detour   ",0
87,522,"Construction, bridge maintenance operations on I-78 both directions between Exit 57 - US 1&9/NJ 21 (Newark) and Exit 58 - US 1&9/E. Port St (Newark) partial ramp closed until 6:00 A.M.   ",0
88,523,"Construction, construction on I-287 both directions between Exit 35 - NJ 124 (Morristown) and Exit 42 - US 46 (Parsippany-Troy Hills Twp) right lane closed for repairs until 6:00 A.M.   ",0
89,524,"Construction, construction on NJ 24 both directions between I-287 (Hanover Twp) and I-78 (Springfield Twp) 1 to 2 lanes closed for repairs until 6:00 A.M.   ",0
90,525,"Construction, drainage improvements on US 130 both directions at Hankins Rd (Robbinsville) 1 lane closed until 6:00 A.M.   ",0
91,526,"Construction, paving operations on NJ 31 both directions CR 634/Parkway Av (Ewing Twp) to South of I-295 (Ewing Twp) 1 lane closed until 6:00 A.M.   ",0
92,527,"Construction, construction on I-295 northbound between North of Exit 40 - NJ 38 (Mount Laurel Twp) and South of Exit 47 - CR 541/Burlington-Mount Holly Rd (Burlington Twp) 1 to 2 lanes closed until 6:00 A.M. use caution   ",0
93,528,Roadwork on Garden State Parkway Southbound between North of Exit 127 - US 9/I-287/NJ 440 (Woodbridge Twp) and South of Raritan Toll Plaza (Sayreville) 1 right lane closed until 6:00 A.M.   ,0
94,530,Roadwork on New Jersey Turnpike - Hudson County Extension Eastbound between East of Interchange 14 - I-78 (Newark) and West of Newark Bay Bridge (Newark) 1 left lane closed until 5:00 A.M.   ,0
95,531,"Construction, bridge painting on Atlantic City Expressway westbound from East of Exit 33 - Winslow (Winslow Twp) to Exit 33 - Winslow (Winslow Twp) left lane and shoulder closed until 5:00 A.M. MOVE OVER FOR HIGHWAY WORKERS   ",0
96,532,"Construction, bridge painting on Atlantic City Expressway eastbound from East of Exit 12A - US 40 - Wrangleboro Rd (Hamilton Twp) to East of Exit 12 - US 40 - Wrangleboro Rd (Hamilton Twp) right lane and shoulder closed unti   ",0
97,564,Crash on NJ 42 southbound at Exit 10B - CR 681/Lower Landing Rd (Gloucester Twp) right shoulder closed 5-10 minute delay use caution   ,0
98,565,Crash on NJ 42 southbound South of Exit 14 - CR 753/Creek Rd (Runnemede) right shoulder closed use caution   ,0
99,568,Crash on NJ 42 southbound South of Exit 14 - CR 753/Creek Rd (Runnemede) center lane closed 5-10 minute delay use caution   ,0
100,572,Crash on NJ 42 southbound South of Exit 14 - CR 753/Creek Rd (Runnemede) center lane closed 5-10 minute delay use caution   ,0
101,574,Crash on NJ 42 southbound at Exit 10B - CR 681/Lower Landing Rd (Gloucester Twp) right shoulder closed 10-15 minute delay use caution   ,0
102,586,Crash on I-676 northbound North of Exit 4 - Atlantic Ave (Camden) right shoulder closed 5-10 minute delay use caution   ,0
103,587,Crash on NJ 42 southbound at Exit 10B - CR 681/Lower Landing Rd (Gloucester Twp) center lane closed 10-15 minute delay use caution   ,0
104,589,Crash on NJ 42 southbound at Exit 10B - CR 681/Lower Landing Rd (Gloucester Twp) center lane closed 10-15 minute delay use caution   ,0
105,590,Crash on I-676 northbound North of Exit 4 - Atlantic Ave (Camden) right lane closed use caution   ,0
106,594,Crash on I-676 northbound South of Exit 4 - Atlantic Ave (Camden) 1 lane may be closed use caution   ,0
107,633,Disabled truck on Lincoln Tunnel westbound Mid-Tunnel - North Tube (Manhattan) all lanes temporarily closed   ,0
108,634,Disabled truck on Lincoln Tunnel westbound Mid-Tunnel - North Tube (Manhattan) left lane closed   ,0
109,666,Crash on NJ 495 westbound approaching NJ 3 (North Bergen Twp) right lane closed   ,0
110,670,"Construction, bridge construction on George Washington Bridge westbound New York Side/Lower Level (Manhattan) to New Jersey Side/Lower Level (Fort Lee) right lane closed   ",0
111,671,"Construction, bridge construction on George Washington Bridge westbound New York Side/Upper Level (Manhattan) to New Jersey Side/Upper Level (Fort Lee) right lane closed   ",0
112,672,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) to New York Side/Lower Level (Manhattan) left lane closed   ",0
113,682,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019   ",0
114,683,"Construction, construction on NJ 175 northbound ramp to southbound I-295 (Ewing Twp) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020   ",0
115,684,"Construction, construction on I-676 both directions South of Exit 5 - CR 537 (Camden) to Exit 5 - CR 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019   ",0
116,687,"Construction, construction on I-195 westbound at Exit 16 - CR 537/Great Adventure (Jackson Twp) right shoulder closed until 11:59 P.M. on November 15, 2019   ",0
117,688,Crash with Injuries on I-78 express lanes eastbound East of Exit 48 - NJ 24 West (Springfield Twp) right shoulder closed use caution   ,0
118,689,Crash with Injuries on I-78 express lanes eastbound East of Exit 48 - NJ 24 West (Springfield Twp) right lane closed 5 minute delay   ,0
119,692,"Construction, bridge construction on George Washington Bridge eastbound New York Side/Lower Level (Manhattan) to Lower Trans Manhattan Expressway (Manhattan) right lane closed until 3:30 P.M.   ",0
120,694,Crash on I-287 northbound at South of Exit 12 - CR 623 (Franklin Twp) left lane closed 5-10 minute delay   ,0
121,696,Crash on I-287 northbound at South of Exit 12 - CR 623 (Franklin Twp) left lane closed   ,0
122,704,"Construction, guard rail repairs on Atlantic City Expressway eastbound between East of Exit 7 - Garden State Pkwy (Egg Harbor Twp) and West of Exit 4 - CR 585 (Pleasantville) right lane and shoulder closed until 2:30 P.M. M   ",0
123,705,"Construction, bridge construction on George Washington Bridge westbound New York Side/Lower Level (Manhattan) to New Jersey Side/Lower Level (Fort Lee) right lane closed until 2:30 P.M.   ",0
124,711,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) to New York Side/Lower Level (Manhattan) left lane closed until 2:30 P.M.   ",0
125,761,"Construction, bridge construction on George Washington Bridge westbound New York Side/Upper Level (Manhattan) to New Jersey Side/Upper Level (Fort Lee) right lane closed until 2:30 P.M.   ",0
126,860,"Construction, construction on NJ 175 northbound ramp to southbound I-295 (Ewing Twp) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020   ",0
127,861,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019   ",0
128,862,"Construction, construction on I-676 both directions South of Exit 5 - CR 537 (Camden) to Exit 5 - CR 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019   ",0
129,865,"Construction, construction on I-195 westbound at Exit 16 - CR 537/Great Adventure (Jackson Twp) right shoulder closed until 11:59 P.M. on November 15, 2019   ",0
130,868,"Construction, bridge construction on George Washington Bridge eastbound Lower Trans Manhattan Expressway (Manhattan) all lanes closed and detoured from 10:00 P.M. until 4:00 A.M.   ",0
131,869,"Construction, bridge construction on George Washington Bridge eastbound New Jersey Side/Lower Level (Fort Lee) to New York Side/Lower Level (Manhattan) all lanes closed and detoured from 10:00 P.M. until 4:00 A.M.   ",0
132,870,"Construction, construction on George Washington Bridge eastbound New Jersey Side/Lower Level (Fort Lee) to New York Side/Lower Level (Manhattan) all lanes closed from 11:00 P.M. until 4:00 A.M.   ",0
133,871,"Construction, tunnel repairs on Lincoln Tunnel westbound New York Side - North Tube (Manhattan) to New Jersey Side - North Tube (Weehawken Twp) all lanes closed and detoured until 4:00 A.M.   ",0
134,872,Construction on George Washington Bridge eastbound New Jersey Side/Lower Level (Fort Lee) to New York Side/Lower Level (Manhattan) all lanes closed from 11:00 P.M. until 5:00 A.M.   ,0
135,873,"Construction, construction on Garden State Parkway northbound Exit 129 - New Jersey Turnpike (Woodbridge Twp) to North of Exit 130B-A - US 1 (Woodbridge Twp) 3 left lanes closed until 6:00 A.M.   ",0
136,875,"Construction, tunnel repairs on Lincoln Tunnel westbound New York Side - North Tube (Manhattan) to New Jersey Side - North Tube (Weehawken Twp) all lanes closed and detoured until 5:00 A.M.   ",0
137,876,"Construction, bridge construction on George Washington Bridge westbound Henry Hudson Parkway (Manhattan) to New York Side/Upper Level (Manhattan) ramp closed and detoured until 5:00 A.M.   ",0
138,877,"Construction, bridge construction on Outerbridge Crossing westbound New York Side (Staten Island) to New Jersey Side (Perth Amboy) left lane closed until 5:00 A.M.   ",0
139,878,"Construction, tunnel repairs on Holland Tunnel eastbound New Jersey Side - South Tube (Jersey City) to New York Side - South Tube (Manhattan) 1 lane closed until 5:00 A.M.   ",0
140,879,Roadwork on New Jersey Turnpike - Pennsylvania Ext. Westbound near West of New Jersey Turnpike North (Mansfield Twp) 1 right lane closed until 5:00 A.M.   ,0
141,881,Roadwork on Garden State Parkway northbound Bergen Toll Plaza (Saddle Brook Twp) to South of Exit 163 - NJ 17 (Paramus) 2 Left Lanes closed until 4:00 A.M.   ,0
142,882,Roadwork on Garden State Parkway northbound North of Exit 69 - CR 532/Waretown Rd (Lacey Twp) to South of Exit 74 - CR 614 (Lacey Twp) 2 Left Lanes closed until 5:00 A.M.   ,0
143,883,Roadwork on Garden State Parkway express lanes northbound North of Exit 105 - NJ 36 (Tinton Falls) to South of Exit 109 - CR 520 (Middletown Twp) left lane closed until 5:00 A.M.   ,0
144,884,"Construction, construction on NJ 495 westbound between Kennedy Boulevard (North Bergen Twp) and NJ 3 (North Bergen Twp) left lane closed for repairs until 5:00 A.M.   ",0
145,885,"Construction, roadwork on I-676 northbound North of Exit 4 - Atlantic Ave (Camden) 2 left lanes closed until 5:00 A.M.   ",0
146,886,"Construction, construction on I-295 northbound ramp to eastbound Exit 60 - I-195/NJ 129 (Hamilton Twp) ramp closed and detoured until 5:00 A.M.   ",0
147,887,"Construction, roadwork on I-295 northbound North of Exit 52 - Columbus Rd (Mansfield Twp) 2 left lanes closed until 5:00 A.M.   ",0
148,888,"Construction, construction on I-295 southbound from north of Exit 67 - US 1 (Lawrence Twp) to South of Exit 67 - US 1 (Lawrence Twp) 2 left lanes closed until 6:00 A.M. use caution   ",0
149,889,"Construction, construction on NJ 175 both directions between West Upper Ferry Rd (Ewing Twp) and NJ 29 (Ewing Twp) all lanes closed and detoured until 6:00 A.M. follow detour   ",0
150,890,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) left lane closed until 5:00 A.M.   ",0
151,891,"Construction, bridge construction on George Washington Bridge westbound Upper Trans Manhattan Expressway (Manhattan) right lane closed until 5:00 A.M.   ",0
152,892,"Construction, scheduled roadwork on Garden State Parkway southbound ramps from Exit 142-A - I-78 East (Hillside Twp) partial ramp closure until 11:00 P.M.   ",0
153,894,Roadwork on New Jersey Turnpike outer roadway Southbound between North of Interchange 14 - I-78/US 1&9 (Newark) and South of Interchange 6 - Pennsylvania Turnpike (Mansfield Twp) all lanes closed until 5:00 A.M.   ,0
154,895,Construction on Garden State Parkway northbound North of Exit 135 - Central Ave (Clark Twp) 2 right lanes closed to traffic until 6:00 A.M.   ,0
155,896,"Construction, sign work on I-80 eastbound ramp to Exit 64 - Summit Ave/NJ 17 (Hackensack) ramp closed and detoured until 5:00 A.M.   ",0
156,898,"Construction, sign work on I-80 eastbound ramp to southbound Exit 64 - Summit Ave/NJ 17 (Hackensack) ramp closed and detoured until 5:00 A.M.   ",0
157,899,"Construction, bridge work on I-80 eastbound between West of Exit 12 - CR 521/Hope-Blairstown Rd (Blairstown Twp) and Exit 12 - CR 521/Hope-Blairstown Rd (Hope Twp) left and center lanes closed until 5:00 A.M.   ",0
158,900,"Construction, construction on NJ 495 express lanes westbound area of Kennedy Boulevard (North Bergen Twp) 1 to 2 lanes closed for repairs until 5:00 A.M.   ",0
159,901,Construction on Garden State Parkway southbound Essex Toll Plaza (Bloomfield) to North of Exit 141 - Vaux Hall Rd (Union Twp) 3 left lanes closed to traffic from 11:00 P.M. until 4:00 A.M.   ,0
160,905,Construction on Garden State Parkway northbound Exit 129 - New Jersey Turnpike (Woodbridge Twp) to North of Exit 130B-A - US 1 (Woodbridge Twp) 2 left lanes closed until 6:00 A.M.   ,0
161,908,Construction on Garden State Parkway southbound North of Exit 127 - US 9/I-287/NJ 440 (Woodbridge Twp) to Exit 124 - Main St (Sayreville) 3 right lanes closed until 6:00 A.M.   ,0
162,909,Roadwork on New Jersey Turnpike - Hudson County Extension Eastbound between East of Interchange 14 - I-78 (Newark) and West of Newark Bay Bridge (Newark) 1 left lane closed until 5:00 A.M.   ,0
163,910,"Construction, barrier repairs on I-287 both directions between Exit 22 - US 202 (Bedminster Twp) and Exit 35 - NJ 124 (Morristown) right lane closed for repairs until 6:00 A.M.   ",0
164,911,"Construction, construction cancelled on I-78 both directions between Exit 29 - I-287/US 202/US 206 (Bedminster Twp) and Exit 41 - Dale Rd to Plainfield Ave (Watchung) right lane closed for repairs until 6:00 A.M.   ",0
165,912,"Construction, bridge maintenance operations on I-78 both directions between Exit 57 - US 1&9/NJ 21 (Newark) and Exit 58 - US 1&9/E. Port St (Newark) partial ramp closed until 6:00 A.M.   ",0
166,913,"Construction, sign work on NJ 31 both directions South of CR 546/Washington Crossing Pennington Rd (Hopewell Twp) to North of CR 579/Harbourton Rd (East Amwell Twp) right lane closed until 6:00 A.M.   ",0
167,914,"Construction, bridge maintenance operations on I-287 both directions New Jersey Turnpike (Edison Twp) left lane closed for repairs until 5:00 A.M.   ",0
168,915,"Construction, bridge work on I-676 southbound ramp to Exit 1 - Collings Ave (Camden) exit ramp closed and detoured until 5:00 A.M. follow detour   ",0
169,916,"Construction, construction on NJ 24 both directions between I-287 (Hanover Twp) and I-78 (Springfield Twp) 1 to 2 lanes closed for repairs until 6:00 A.M.   ",0
170,917,"Construction, drainage improvements on US 130 both directions at Hankins Rd (Robbinsville) left lane closed until 6:00 A.M.   ",0
171,918,"Construction, construction on I-287 both directions between Exit 35 - NJ 124 (Morristown) and Exit 42 - US 46 (Parsippany-Troy Hills Twp) right lane closed for repairs until 6:00 A.M.   ",0
172,919,"Construction, construction on I-295 northbound between North of Exit 40 - NJ 38 (Mount Laurel Twp) and South of Exit 47 - CR 541/Burlington-Mount Holly Rd (Burlington Twp) 1 to 2 lanes closed until 6:00 A.M. use caution   ",0
